id,gid,x,y,v_x,v_y,radius,time
0,0,-4.166439,-1.281936,1.302763,-0.069536,0.750000,3.900000
1,0,-4.068604,1.845532,1.015615,-0.104926,0.750000,3.900000
2,1,-5.222592,0.264095,-1.370525,-0.028713,0.750000,3.900000
0,0,-4.036558,-1.276879,1.298808,0.050572,0.750000,4.000000
1,0,-3.951819,1.835646,1.167845,-0.098853,0.750000,4.000000
2,1,-5.361148,0.270881,-1.385556,0.067864,0.750000,4.000000
0,0,-3.901658,-1.273951,1.348994,0.029285,0.750000,4.100000
1,0,-3.843454,1.831559,1.083656,-0.040873,0.750000,4.100000
2,1,-5.488089,0.268151,-1.269410,-0.027300,0.750000,4.100000
0,0,-3.744502,-1.281840,1.571562,-0.078895,0.750000,4.200000
1,0,-3.720683,1.833104,1.227709,0.015445,0.750000,4.200000
2,1,-5.598466,0.267127,-1.103770,-0.010243,0.750000,4.200000
0,0,-3.596352,-1.278004,1.481504,0.038367,0.750000,4.300000
1,0,-3.599690,1.844262,1.209931,0.111580,0.750000,4.300000
2,1,-5.711285,0.264359,-1.128193,-0.027673,0.750000,4.300000
0,0,-3.447297,-1.292946,1.490547,-0.149423,0.750000,4.400000
1,0,-3.490361,1.838666,1.093287,-0.055960,0.750000,4.400000
2,1,-5.825617,0.278915,-1.143315,0.145557,0.750000,4.400000
0,0,-3.330446,-1.294951,1.168515,-0.020052,0.750000,4.500000
1,0,-3.380525,1.834844,1.098362,-0.038213,0.750000,4.500000
2,1,-5.952401,0.285586,-1.267843,0.066713,0.750000,4.500000
0,0,-3.208304,-1.295458,1.221412,-0.005070,0.750000,4.600000
1,0,-3.251871,1.824401,1.286541,-0.104438,0.750000,4.600000
2,1,-6.084613,0.275679,-1.322120,-0.099073,0.750000,4.600000
0,0,-3.094695,-1.310427,1.136091,-0.149687,0.750000,4.700000
1,0,-3.121204,1.815538,1.306666,-0.088627,0.750000,4.700000
2,1,-6.213267,0.286462,-1.286537,0.107829,0.750000,4.700000
0,0,-2.991885,-1.317833,1.028106,-0.074065,0.750000,4.800000
1,0,-2.970078,1.804042,1.511257,-0.114961,0.750000,4.800000
2,1,-6.350958,0.304692,-1.376920,0.182301,0.750000,4.800000
0,0,-2.872542,-1.319072,1.193425,-0.012388,0.750000,4.900000
1,0,-2.826009,1.789139,1.440693,-0.149024,0.750000,4.900000
2,1,-6.476448,0.300843,-1.254898,-0.038490,0.750000,4.900000
